tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,rejected task,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
94200,339,24,1.3502238898817394,3.3169078571223376,4.7667252162954465,8.86529787548106,31,106,31,22,7654,0,33,274,94,1033,259
94300,357,14,1.3813835084704695,3.3997325357731056,4.767169862090767,8.999893551807224,33,104,33,19,7685,0,27,273,85,1032,258
94400,348,15,1.374974083427113,3.407499580464703,5.50495433389803,9.432032483688667,33,104,32,22,7652,0,37,311,79,1037,206
94500,361,22,1.3707013747023185,3.3163477277912734,4.981482856597063,9.517691225126553,33,104,33,23,7809,0,18,308,92,1056,273
94600,345,16,1.3889860482085503,3.350217119890847,4.878519035527296,9.255929458006289,32,105,32,22,8062,0,35,319,83,1048,289
94700,366,19,1.374890498264712,3.326634118758479,4.474815741574721,9.137524526026986,33,104,33,27,8182,0,37,330,86,1123,252
94800,366,16,1.3451023614218522,3.3058042102891956,5.528150659031594,9.266264330002642,35,102,35,27,8433,0,47,351,84,1158,277
94900,372,19,1.3805299202026382,3.216278232789332,3.971303148504179,8.74765001695856,33,104,33,24,7773,0,28,314,96,979,292
95000,357,23,1.3601526253150027,3.307290424635339,4.629073094363124,9.37360898186706,33,104,33,22,8222,0,39,341,90,1057,307
95100,352,12,1.3779879678045979,3.3271709946568433,4.5175234776851765,9.419550558968632,33,104,33,25,7813,0,39,312,91,1041,300
95200,352,16,1.3797387770676193,3.358635787807412,4.779378156525502,9.431799706190372,34,103,34,27,8113,0,23,308,94,1051,304
95300,372,15,1.3661361272802879,3.2577739689467036,5.76357528621003,9.964339475989426,34,103,34,24,8523,0,52,336,104,1134,297
95400,331,16,1.3691597413491607,3.250084929174713,3.908813985721879,8.614514446896413,35,102,35,20,7601,0,9,342,87,927,299
95500,347,18,1.3492362029002638,3.305076949637983,5.251692908383847,9.862126236675934,32,105,32,22,7527,0,37,285,73,1016,274
95600,341,26,1.3471634728881794,3.363954222207251,4.7965503620794046,9.300743484090653,34,103,32,15,7873,0,25,307,81,1018,312
95700,347,28,1.3585980264826447,3.310376576482227,4.3323777435871085,8.814854807344355,29,108,29,22,7673,0,25,285,82,997,310
95800,306,24,1.3851733962024104,3.3103138444372955,5.316765658103505,9.225346619883382,33,104,31,21,7401,0,31,262,97,910,264
95900,329,25,1.354410763134452,3.3355190007790636,5.453548449529485,9.526592619884417,31,106,30,28,8268,0,46,283,87,1096,293
96000,334,34,1.3824415874686105,3.3049295641597594,5.909810823895895,9.68395739004904,33,104,33,25,8248,0,41,275,76,1014,316
96100,350,31,1.3773716448354971,3.377674492475191,5.284624348894105,9.750582260224556,32,105,32,20,8135,0,38,250,85,1062,328
96200,351,17,1.3554773542238547,3.3236572653315495,5.390481202366905,9.440940935685214,36,101,35,24,8403,0,53,321,80,1085,360
96300,363,16,1.3529196609179721,3.2285724762479697,4.109709884264417,8.872988897105946,30,107,30,24,7421,0,35,312,65,969,293
96400,341,23,1.3554901737124243,3.34343674050408,4.080802712111552,8.879589434906638,34,103,34,27,7882,0,29,296,89,1050,301
