tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,average subtask queue size,rejected task
89800,1351,106,1.373347036214541,3.2570562398795904,4.920121459038657,9.211392878285016,124,376,124,93,30643,0,0.7589150615518152,160
89900,1312,117,1.3962514343353742,3.172998648298661,5.460859015680986,9.563724748664457,124,376,124,82,30697,0,0.7770949505107646,170
90000,1329,98,1.401669530646609,3.230631740906887,4.882372190164823,9.150915334783685,124,376,122,78,30352,0,0.7132539277560233,134
90100,1331,100,1.4098811793586523,3.2652956310608836,4.906781940359171,9.341729022185362,123,377,122,81,29899,0,0.7256912777805455,120
90200,1317,136,1.4091978269005332,3.1678834198292645,5.205829167212403,9.370815350543161,129,371,127,95,31125,0,0.7520548852327837,194
90300,1369,114,1.406445183830408,3.177484168212288,4.567730766980864,8.953724977226097,128,372,127,94,30769,0,0.7088115163413451,96
90400,1368,104,1.3880485599132502,3.19286866775389,5.039674739361067,9.2900755872532,129,371,123,87,31535,0,0.7922342337910493,158
90500,1303,109,1.3974901197832525,3.186194859610298,5.27566743152396,9.386222873510969,128,372,127,92,30721,0,0.7625719767482058,176
90600,1305,135,1.4087234045416033,3.199216611257005,5.037830896290863,9.263151658279654,128,372,128,92,30957,0,0.7326999448686483,157
90700,1341,130,1.4041941980435129,3.2063167422384256,5.518685341237605,9.745725668927808,131,369,131,103,31884,0,0.8493376514506279,159
90800,1375,154,1.400157777592371,3.2324190950676184,5.452096982303736,9.771832242038002,136,364,134,105,32297,0,0.8282787496994217,196
90900,1307,126,1.3810204585870194,3.159698944509081,4.9034124658551725,9.079860109387717,122,378,122,82,30054,0,0.6959840028811657,165
91000,1270,109,1.4106828298917606,3.2344267058467637,5.190448244218503,9.406594691791547,125,375,122,84,29597,0,0.7447428637110015,141
91100,1346,104,1.3961679802950555,3.1953035557732825,4.8878324047225865,9.20875839144001,122,378,122,85,30700,0,0.7301788127597101,148
91200,1328,107,1.394873818385742,3.1912771957328063,4.62510757124927,9.037399560884667,125,375,125,85,30821,0,0.7123453591878779,140
91300,1334,94,1.3825210265504526,3.2429340827039255,5.131613426594712,9.44456226677578,128,372,127,89,30164,0,0.7515080080607468,132
91400,1378,89,1.3820753347541135,3.1940546022066347,5.004647177819475,9.306329955942202,121,379,120,85,30751,0,0.7727004994986392,143
91500,1305,102,1.401796953902522,3.256313641765438,4.673654657945252,9.123775405165441,134,366,133,105,30420,0,0.7134514787355783,128
91600,1380,104,1.3995516304660678,3.186090388280399,5.573420803200614,9.695311427106319,122,378,122,92,31937,0,0.8502794121440221,202
91700,1329,88,1.3973557355530972,3.187142187057803,5.1124500326606945,9.384774601865523,121,379,120,72,30112,0,0.7406349089164582,151
91800,1379,84,1.3883248369686771,3.192892729715075,4.639513352975578,9.040484764758041,125,375,124,82,30338,0,0.7188142586991288,112
91900,1344,97,1.4076026360977818,3.195394677878334,5.218178070840364,9.43603117670012,134,366,130,96,31328,0,0.7955418990662355,141
92000,1366,137,1.4114801185041383,3.1862308686168603,5.047432614491053,9.413352178050857,132,368,129,90,31962,0,0.8011136147323313,152
92100,1395,167,1.4262043587511672,3.1735335750912084,5.172906062175196,9.454935587560554,130,370,127,90,32073,0,0.8021745788192776,120
92200,1328,140,1.415127397931884,3.1768306129785766,5.323155093439341,9.629516015944294,136,364,133,97,32256,0,0.8147674743086213,192
92300,1370,148,1.4339256926611916,3.1981133942028346,5.678581891434938,9.768657487240889,133,367,131,91,32153,0,0.8458698944329187,176
92400,1362,135,1.4318896207266443,3.215130158744541,4.948842972003219,9.333469797823405,121,379,118,83,31421,0,0.7605042974458521,106
92500,1310,151,1.4190063494016254,3.165119874073726,5.193481388945497,9.396394974029665,136,364,136,113,32023,0,0.788427865525082,171
92600,1355,144,1.4119483310192797,3.1693423347034337,5.510459619111298,9.694752084595347,128,372,128,89,31938,0,0.8418952724301352,161
