tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,rejected task,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
55500,293,29,1.5015857238308714,3.2343325926739244,7.729601326477102,10.603662655928522,37,100,0,0,12463,0,97,240,52,998,297
55600,292,36,1.5206237078945497,3.2815070487647886,7.880720436469274,10.650323507589764,39,98,0,0,12275,0,114,287,78,953,298
55700,277,36,1.5236143091326388,3.164089438296482,7.131279738837014,10.144500317965488,38,99,0,0,12703,0,80,312,94,946,324
55800,288,20,1.5408551704291065,3.224342086270694,5.248526889352925,9.708913844211681,39,98,0,0,11897,0,76,247,84,922,335
55900,320,31,1.5477823757543299,3.3187698965663195,7.082627619234314,10.94824213939655,41,96,0,0,13352,0,77,308,95,1058,356
56000,331,39,1.5451977042220784,3.2761438726392287,6.9742616850813475,10.822133088016214,38,99,0,0,12660,0,68,271,64,1042,315
56100,325,14,1.5546205850588506,3.2467606141794203,5.937364227482184,9.670929862191473,36,101,0,0,12198,0,43,276,63,1007,296
56200,301,12,1.5587702246866553,3.2484861537671117,5.980472194042627,9.708213703822834,40,97,0,0,12912,0,58,334,86,1052,319
56300,325,12,1.5662593537208576,3.3208903672810504,7.42406517798507,11.264950575564487,38,99,0,0,12833,0,63,327,74,1056,319
56400,293,10,1.5355738960672392,3.2734041812161006,7.7252703817080794,10.59609325366756,33,104,0,0,12418,0,94,279,62,1054,283
56500,315,15,1.5211612853067242,3.193708099906629,8.86574490297284,11.033461550704194,42,95,0,0,13072,0,89,316,71,1080,332
56600,339,31,1.54654724130212,3.223192343084891,6.605606359594397,10.780723038396145,36,101,0,0,12758,0,53,315,74,1019,308
56700,306,24,1.5608742187538482,3.116899953359856,6.400240694914409,9.97182555011918,39,98,0,0,12335,0,77,309,78,907,310
56800,329,24,1.5423376159771849,3.204420276249378,5.46326078332983,10.165247334703034,41,96,0,0,12986,0,55,361,88,1029,354
56900,340,32,1.5408301432140812,3.212883285994303,5.83369722834112,10.810593230179581,38,99,0,0,12734,0,46,351,69,992,321
57000,293,24,1.523660663791575,3.1835034552650647,6.605482200204339,10.090031622144625,39,98,0,0,12188,0,59,304,73,986,265
57100,312,33,1.5107360197400552,3.191457501659885,6.830588950864943,10.448722709582789,37,100,0,0,13208,0,92,291,90,1095,329
57200,301,22,1.5242922963890653,3.261597026115552,5.571305942535648,9.515194793562875,39,98,0,0,11999,0,55,274,70,966,294
57300,319,30,1.5365299932786873,3.1895470635465255,8.369844785333497,10.872822080586891,39,98,0,0,12808,0,101,301,79,992,326
57400,289,35,1.5492749499272411,3.138193331971146,8.316965053133229,9.889821163412797,38,99,0,0,11974,0,72,266,67,917,310
57500,316,21,1.5434288594965568,3.241924624781824,7.136153168898524,10.415031836627424,39,98,0,0,11987,0,53,256,86,948,303
57600,298,12,1.5205554492868913,3.1548593000223035,6.923979583393904,9.865558387012026,39,98,0,0,12100,0,78,294,80,967,295
57700,299,20,1.5298923766114791,3.154050637786708,8.141866365488656,10.876378804073465,40,97,0,0,12409,0,89,284,82,979,300
57800,314,18,1.5283203181607294,3.1160344894613456,6.484572807954001,10.163076851897673,37,100,0,0,12162,0,60,315,84,968,330
57900,301,16,1.53419972851292,3.245807422582579,6.467403009357342,9.799197734283261,33,104,0,0,11587,0,43,295,51,902,287
58000,289,12,1.5405949805333794,3.1809135102513584,6.525222077572697,10.222316111677564,41,96,0,0,12872,0,74,320,73,1022,413
58100,274,26,1.5241145920174288,3.169135199638683,8.18591854043789,10.655481893622369,45,92,0,0,12951,0,105,271,74,1013,376
58200,288,13,1.5201439168853386,3.2312557085157723,8.1552607787809,10.049014588138043,38,99,0,0,12363,0,120,276,48,966,339
58300,315,21,1.511966763151119,3.257363858442301,7.192402957540356,9.771312516698014,44,93,0,0,12954,0,102,291,67,1058,366
58400,349,20,1.529704650219475,3.331586847505107,6.28648769058412,10.520295588981242,39,98,0,0,12928,0,63,343,98,1030,339
58500,329,21,1.5310867099487018,3.219191647533754,4.493473814541151,9.187506818130268,38,99,0,0,11825,0,41,297,78,932,293
