tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,average subtask queue size,rejected task
14800,1262,73,1.700085483748837,3.2791624460406905,7.984869664794103,12.088793238334908,164,336,0,0,50565,0,1.3104005541923873,338
14900,1265,79,1.7029923259545365,3.2468643070283725,7.758014126470727,11.84636663317566,174,326,0,0,50268,0,1.222471764399052,329
15000,1269,60,1.6910353555282278,3.22553917277398,7.506783401842277,11.589236892434776,160,340,0,0,48532,0,1.1824853542529632,283
15100,1264,47,1.6741214926968602,3.251791220271384,7.134553409556989,11.371434244333233,161,339,0,0,48776,0,1.1289211413059892,285
15200,1275,82,1.6936473892672586,3.2880449127750997,7.130799037397053,11.416560184869706,171,329,0,0,50444,0,1.2027177749726659,301
15300,1323,70,1.689504172935811,3.266973992102201,7.072818118593392,11.450740969320497,160,340,0,0,49248,0,1.1705426171205287,215
15400,1308,58,1.6778192546938961,3.243924703542932,7.258961048214097,11.557630945470814,155,345,0,0,48431,0,1.1520700336392307,247
15500,1308,53,1.669958595342707,3.293865685296307,7.082446259155059,11.239171792395902,159,341,0,0,49328,0,1.1432849113085508,258
15600,1261,55,1.6754780978096904,3.267304186260244,7.170029718938166,11.210430789647154,159,341,0,0,48777,0,1.1311052189831146,279
15700,1273,71,1.6704674104444823,3.250345216863888,7.423763078137223,11.518882132315573,164,336,0,0,49357,0,1.1746165983322274,309
15800,1266,58,1.672541293049794,3.2614788233987504,8.013124122230368,11.903638844913548,159,341,0,0,49468,0,1.2666480539795422,323
15900,1222,80,1.6681544722004285,3.291947532382354,7.650961193392893,11.54605513879097,165,335,0,0,49277,0,1.163543380744754,319
16000,1250,71,1.6737952269836347,3.230879778103451,7.301026058105872,11.385662680891398,172,328,0,0,48885,0,1.1415277423843735,326
16100,1209,73,1.663771544731778,3.208807429395418,7.249767097681488,11.075865362769093,163,337,0,0,47768,0,1.0548839462275588,313
16200,1181,78,1.6642808888381753,3.2858078124283203,7.872388551630086,11.568665172660683,164,336,0,0,49354,0,1.1919308123902814,371
16300,1256,77,1.6724908425812461,3.2617439077459642,7.595801220307099,11.395146018402464,167,333,0,0,49764,0,1.1550444642747426,336
16400,1226,73,1.6770940246607153,3.2806817777585398,7.694197595717123,11.530120653964614,161,339,0,0,51483,0,1.2095294022823573,376
16500,1266,93,1.6842452293585373,3.2225645678760175,7.692900153558528,11.639502711412113,170,330,0,0,49265,0,1.2076034499323343,295
16600,1248,110,1.6893403624622925,3.271803509409836,6.889344301957075,11.222085937218091,164,336,0,0,49067,0,1.0577250091817645,283
16700,1227,86,1.681942895139319,3.2253834791817844,6.962884251021217,11.102413608347549,156,344,0,0,48412,0,1.0880971660679473,269
16800,1240,63,1.6652968658848457,3.282250125192921,7.75211755183459,11.552698315400278,166,334,0,0,50197,0,1.188601229763276,344
16900,1229,64,1.6709418686845914,3.29134944214538,8.122320037433665,11.961202133265607,161,339,0,0,51294,0,1.2977355020079455,422
17000,1236,68,1.6736307644073503,3.263237318303154,7.94801070699326,11.859575106104728,165,335,0,0,49888,0,1.2100081931056377,367
17100,1230,75,1.6830340046935515,3.295850402772659,6.883885522310727,11.150417368828478,166,334,0,0,47398,0,1.0759435268131023,236
17200,1248,59,1.659563311271239,3.253747747648025,7.164744364737357,11.310004347834502,154,346,0,0,48360,0,1.0871403568396745,327
17300,1221,84,1.6694442691303877,3.200960691252427,6.749538549589796,10.833495578212192,172,328,0,0,48403,0,1.0267946071446017,275
17400,1275,83,1.6725737661107205,3.1818795603916783,7.434279592136637,11.310728885743954,161,339,0,0,49678,0,1.1672549717664051,328
17500,1260,61,1.6667839769701465,3.246837167079138,6.962012037732032,11.190867670960486,164,336,0,0,48742,0,1.1336888035146797,283
17600,1311,61,1.6657733320367092,3.266365615123368,7.31896746578332,11.4662407044028,159,341,0,0,49060,0,1.180629683623978,271
17700,1272,59,1.6634078323788417,3.2317047985176863,7.770024063140167,11.605277871754051,162,338,0,0,49958,0,1.2122813619304773,302
17800,1299,56,1.649394534834065,3.265565191626436,6.970422225654928,11.145912504729257,162,338,0,0,48889,0,1.1219255011746971,274
17900,1294,60,1.6541974987185066,3.272864849311348,7.094377160719011,11.326000733494807,154,346,0,0,48578,0,1.1410215435169475,266
18000,1272,68,1.6479632910259954,3.272095723932509,6.682892008273373,10.821426630015635,156,344,0,0,48753,0,1.055186926866763,253
18100,1282,73,1.6612878323010758,3.2917613093049165,7.293597828313699,11.398590017023226,160,340,0,0,49101,0,1.1543308291850947,285
18200,1259,79,1.6508018751831373,3.279933421301089,6.657635006745739,10.988489976328674,162,338,0,0,48038,0,1.0392100085537894,238
18300,1268,55,1.6432949238243948,3.234542824459099,6.8943090643258405,10.991266023748139,153,347,0,0,47456,0,1.053059305583433,269
18400,1261,79,1.6512067944417554,3.251275127622577,6.361981889515813,10.607581344374184,161,339,0,0,46632,0,0.9845122282861598,215
18500,1209,73,1.6723794209569371,3.2882172075093443,7.003235031860925,10.995204237095109,164,336,0,0,49410,0,1.0965729057983278,339
18600,1266,78,1.6449048739919372,3.2108630413792656,7.356704752352222,11.226232735384109,157,343,0,0,49131,0,1.1029032341138636,306
18700,1233,60,1.66182411644387,3.2741409901223704,6.620220235550991,10.854312757001521,159,341,0,0,47746,0,1.0256441967621048,280
18800,1282,73,1.6467415349226315,3.2431716309363314,6.967919438252051,11.07342812730934,159,341,0,0,49096,0,1.0894023312071035,269
18900,1260,52,1.6397149867758412,3.258069756234909,7.370233078701046,11.388098974726672,167,333,0,0,48877,0,1.1542990960324615,290
19000,1242,96,1.658922112347508,3.2478420685684246,7.401641581461494,11.33167713556448,166,334,0,0,49422,0,1.1074162951680593,322
19100,1257,81,1.6611302847841747,3.2436774928932106,6.48793798375765,10.752777787482657,154,346,0,0,47651,0,1.0057781430055897,230
19200,1233,67,1.6472998519637951,3.304773889904662,7.298218204446186,11.364306573201631,163,337,0,0,49221,0,1.1701422125473824,315
19300,1232,79,1.6391780310329966,3.265409235798023,7.35839631708002,11.383561026542534,162,338,0,0,47593,0,1.1037485599502517,278
19400,1247,70,1.6449653971548566,3.2403725833404673,6.55534005632886,10.795001153621115,162,338,0,0,49026,0,1.0364918484315038,286
19500,1248,57,1.6512690822467961,3.2844877838940105,7.259014693333398,11.315601430329432,164,336,0,0,49900,0,1.1697765017008255,309
19600,1282,72,1.6544284094329424,3.2920078782936697,7.390994617038112,11.537869053526062,160,340,0,0,48888,0,1.1679137409235476,287
19700,1248,67,1.6417666013141052,3.2520386771139496,7.375539831388848,11.232858312971393,160,340,0,0,50144,0,1.1811827414833493,341
19800,1290,49,1.6561631128737893,3.2521317172638318,6.974651430264502,11.20637561565438,163,337,0,0,48091,0,1.0795815600361522,269
19900,1225,69,1.6616433707809337,3.3056526866224463,7.2015299888270725,11.326047538085074,163,337,0,0,50228,0,1.152172575259632,325
20000,1254,61,1.6565084461937343,3.3249124138505244,7.778493723949935,11.768765339859831,164,336,0,0,49938,0,1.2530596770875215,332
20100,1289,68,1.6557053704880849,3.2538487491351877,7.911811905573688,11.791152592765414,166,334,0,0,51710,0,1.2618060833118667,384
20200,1280,89,1.6532377920350738,3.2069770043113395,7.280919639426432,11.264412158882473,154,346,0,0,49373,0,1.1177553408889016,278
20300,1217,93,1.6751398720862165,3.243220947194174,7.1449866643002915,11.296426294475477,165,335,0,0,47892,0,1.0965516200376793,270
20400,1224,70,1.658097404416574,3.2564654582243935,7.783938681032814,11.598962060002556,165,335,0,0,50956,0,1.2302587647088712,418
20500,1214,87,1.657388304687878,3.2568860240645874,8.384088618910512,12.080717427536461,158,342,0,0,50013,0,1.2648181411917399,377
20600,1236,62,1.6573914869047173,3.260505665248848,7.559678614647026,11.488518143778524,169,331,0,0,50359,0,1.1962873086961958,367
20700,1285,94,1.6516630971239246,3.217276904230607,7.374042142758753,11.416221263488085,162,338,0,0,49072,0,1.1429158973007798,294
20800,1225,87,1.6378986438104783,3.207002315997555,6.9590832597485015,11.063251924610483,158,342,0,0,47684,0,1.0541001724690497,278
20900,1237,129,1.6369928988816207,3.205473069432925,7.077877275263221,11.02745468041235,155,345,0,0,48854,0,1.054137014057166,307
21000,1219,77,1.6382313382519138,3.2146851282051476,6.70395818961749,10.739678556643062,169,331,0,0,49114,0,1.0270723740611087,322
21100,1267,72,1.6416669378679145,3.2129081135269852,7.391463628805777,11.110069564330146,158,342,0,0,49450,0,1.1256879562165136,321
21200,1224,62,1.6248376811710747,3.2115404987899017,6.849468078499103,10.726071407712213,169,331,0,0,49942,0,1.0745551898346022,337
21300,1256,67,1.6272979551809441,3.2213460163632357,7.569371912951172,11.382860939827724,164,336,0,0,50239,0,1.191162466269835,339
21400,1268,66,1.6364051505882324,3.2558341971594054,7.484142894354104,11.397743522309986,166,334,0,0,48738,0,1.1571498760563492,298
21500,1276,48,1.6279087794489755,3.2306144808773074,7.160728826763192,11.268231709694662,154,346,0,0,47472,0,1.1275983642683576,237
21600,1253,44,1.6201958673305734,3.2531377616873574,7.29411110971222,11.22423155256346,165,335,0,0,48674,0,1.1256812617374208,269
21700,1253,64,1.6272735080304,3.232713813490044,7.302416293407971,11.281400853670016,162,338,0,0,48883,0,1.121423901695823,318
21800,1221,75,1.6388511943559316,3.2724830321229192,7.422645988816039,11.349052523877171,157,343,0,0,48071,0,1.1254312168651186,272
21900,1272,53,1.6283203344410833,3.2454273891051884,7.482885606887522,11.495405584255112,169,331,0,0,49823,0,1.185958897748262,321
22000,1264,54,1.6394329345825878,3.2673554619349754,7.472352313365242,11.505489066719536,167,333,0,0,50480,0,1.1986779114895858,337
22100,1224,59,1.6670480555157186,3.2485558184146037,7.704394622794029,11.374117420875278,158,342,0,0,48384,0,1.1311750210598002,344
22200,1278,60,1.6454365602017997,3.2272970781737484,6.761582881832744,10.931718333100564,159,341,0,0,47246,0,1.06100744053155,229
22300,1253,77,1.643843324804715,3.2185085893563836,7.577634667252025,11.464999216536107,158,342,0,0,50044,0,1.1973177666241195,312
