FROM,Cap,Role,TO,Distance
122,3.33,class Agent.Member,450,1
122,3.33,class Agent.Member,352,1
122,3.33,class Agent.Member,342,2
458,4.33,class Agent.Member,408,1
369,2.00,class Agent.Member,92,1
8,2.67,class Agent.Member,183,2
8,2.67,class Agent.Member,162,2
317,2.00,class Agent.Member,66,1
397,3.33,class Agent.Member,210,1
397,3.33,class Agent.Member,205,1
397,3.33,class Agent.Member,360,1
303,4.33,class Agent.Member,161,1
303,4.33,class Agent.Member,153,2
303,4.33,class Agent.Member,188,1
463,2.67,class Agent.Member,236,1
463,2.67,class Agent.Member,214,2
389,4.33,class Agent.Member,428,1
389,4.33,class Agent.Member,66,1
61,2.33,class Agent.Member,486,1
135,3.67,class Agent.Member,152,2
135,3.67,class Agent.Member,238,1
135,3.67,class Agent.Member,146,2
199,2.67,class Agent.Member,152,1
199,2.67,class Agent.Member,162,2
199,2.67,class Agent.Member,29,2
351,2.67,class Agent.Member,165,2
421,3.00,class Agent.Member,241,1
421,3.00,class Agent.Member,167,2
421,3.00,class Agent.Member,0,3
455,2.00,class Agent.Member,387,1
323,2.67,class Agent.Member,62,1
323,2.67,class Agent.Member,92,1
171,2.67,class Agent.Member,244,1
171,2.67,class Agent.Member,217,1
179,3.33,class Agent.Member,210,2
179,3.33,class Agent.Member,352,1
179,3.33,class Agent.Member,342,2
179,3.33,class Agent.Member,227,1
473,4.00,class Agent.Member,450,2
473,4.00,class Agent.Member,399,1
473,4.00,class Agent.Member,193,1
473,4.00,class Agent.Member,147,1
378,2.67,class Agent.Member,395,2
378,2.67,class Agent.Member,214,2
149,4.00,class Agent.Member,231,1
149,4.00,class Agent.Member,324,1
73,2.33,class Agent.Member,183,1
73,2.33,class Agent.Member,486,2
73,2.33,class Agent.Member,428,1
465,2.33,class Agent.Member,419,1
465,2.33,class Agent.Member,264,2
465,2.33,class Agent.Member,353,2
427,3.33,class Agent.Member,496,1
427,3.33,class Agent.Member,209,2
459,2.33,class Agent.Member,147,1
348,3.33,class Agent.Member,167,2
348,3.33,class Agent.Member,225,2
276,1.67,class Agent.Member,62,1
276,1.67,class Agent.Member,416,1
215,3.33,class Agent.Member,193,2
219,2.67,class Agent.Member,158,1
78,3.33,class Agent.Member,274,1
78,3.33,class Agent.Member,451,2
78,3.33,class Agent.Member,146,1
267,3.67,class Agent.Member,490,2
267,3.67,class Agent.Member,167,2
13,2.33,class Agent.Member,347,1
13,2.33,class Agent.Member,185,2
172,3.67,class Agent.Member,399,2
172,3.67,class Agent.Member,262,1
172,3.67,class Agent.Member,401,2
269,2.33,class Agent.Member,162,1
269,2.33,class Agent.Member,266,2
269,2.33,class Agent.Member,461,2
126,3.33,class Agent.Member,264,1
488,4.00,class Agent.Member,490,1
488,4.00,class Agent.Member,487,2
488,4.00,class Agent.Member,44,1
287,4.33,class Agent.Member,382,2
287,4.33,class Agent.Member,255,2
287,4.33,class Agent.Member,243,1
228,2.67,class Agent.Member,76,1
228,2.67,class Agent.Member,340,2
228,2.67,class Agent.Member,4,2
384,3.33,class Agent.Member,64,1
384,3.33,class Agent.Member,178,1
22,2.00,class Agent.Member,361,2
413,3.00,class Agent.Member,32,1
413,3.00,class Agent.Member,395,1
413,3.00,class Agent.Member,486,1
43,3.33,class Agent.Member,114,1
43,3.33,class Agent.Member,357,1
43,3.33,class Agent.Member,146,2
