tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
16000,68,0,1.729368059831124,1.4626666666666666,5.022690476190475,7.006095238095238,47,82,39,134,5,139
16100,62,2,1.7561294224243935,1.3825238095238097,5.6187142857142875,6.609595238095237,46,83,33,109,2,109
16200,64,1,1.735702976102762,1.5207380952380953,4.9200238095238085,6.87947619047619,47,82,42,131,4,120
16300,69,1,1.7234571108993209,1.2097261904761911,3.8874166666666663,6.253095238095239,46,83,37,122,2,127
16400,59,0,1.762062538538417,1.5465238095238099,5.434499999999999,6.614690476190476,46,83,33,98,3,109
16500,59,0,1.727638782913323,1.5452976190476184,4.472476190476191,6.5884880952380955,46,83,40,107,2,110
16600,57,2,1.753102406906427,1.387738095238095,3.892857142857143,6.350452380952382,45,84,36,104,3,109
16700,53,3,1.7384663962381317,1.697166666666666,5.308999999999998,6.502166666666668,46,83,27,113,1,99
16800,63,0,1.7244477072197326,1.4176309523809527,4.566309523809525,6.409297619047619,46,83,44,107,4,110
16900,53,4,1.7202921598208534,1.6784047619047615,5.496023809523808,6.561857142857142,45,84,30,103,2,114
17000,53,1,1.7882297831565317,1.5754880952380952,3.7086984126984133,6.388535714285714,46,83,31,102,3,98
17100,58,1,1.698500067051186,1.5080793650793651,4.348801587301587,6.512904761904763,46,83,35,112,3,129
17200,56,0,1.7383405753952141,1.9958333333333331,5.281666666666665,7.022222222222223,45,84,26,97,4,100
17300,47,1,1.7324408864333938,1.7384999999999993,5.856,6.907166666666667,46,83,52,89,7,96
17400,61,0,1.7414360108038867,1.6955000000000007,5.268333333333333,6.952166666666667,46,83,42,108,2,108
17500,52,0,1.756659986660715,1.6655000000000002,5.1056904761904764,6.228928571428572,45,84,34,82,0,101
17600,60,1,1.736484744432439,1.6491666666666667,4.874773809523808,6.659,46,83,45,111,1,112
17700,59,0,1.7283910603340302,1.3196190476190475,4.264226190476189,6.714904761904762,46,83,50,109,5,109
17800,59,1,1.704398395946288,1.37,4.796714285714286,6.587857142857143,46,83,46,106,4,108
17900,54,0,1.719293714338039,1.5987976190476183,5.058559523809524,6.524857142857145,44,85,32,90,1,104
18000,40,0,1.7289923089052228,1.671452380952381,4.991666666666667,5.522666666666665,45,84,26,73,0,83
18100,59,0,1.7159789856505216,1.5615,4.9671666666666665,6.458416666666666,46,83,42,109,1,108
18200,55,0,1.7426721169407786,1.5551428571428578,4.813952380952381,6.654190476190478,45,84,46,97,2,104
18300,47,0,1.7210129039136393,1.8986666666666663,4.667333333333334,6.9111666666666665,45,84,45,87,2,81
18400,52,0,1.6973197757558276,1.5109047619047622,4.587285714285715,5.994619047619048,45,84,45,101,1,90
18500,47,3,1.7338166937096693,1.6878690476190477,4.9952499999999995,6.541785714285716,47,82,35,101,3,89
18600,70,0,1.6477046710296839,1.501154761904762,4.981202380952381,7.104523809523809,46,83,40,130,3,136
18700,58,0,1.6690847084807827,1.617666666666666,5.008309523809524,6.721642857142857,47,82,25,112,3,126
18800,69,2,1.6613083431558078,1.7775476190476196,5.4603809523809534,7.152249999999999,47,82,40,123,4,133
18900,68,1,1.640493978909033,1.635008658008658,5.192795454545456,6.830800865800866,46,83,31,125,5,129
19000,42,2,1.6888614915771354,1.4898333333333336,3.779333333333333,5.792333333333333,44,85,31,76,4,81
19100,50,0,1.723484929376036,1.597634920634921,4.2022698412698425,6.6170873015873015,47,82,44,97,1,108
19200,68,1,1.6930024783944302,1.2894523809523812,4.74297619047619,7.03757142857143,47,82,43,125,4,136
19300,70,0,1.7414441954257471,1.4725714285714289,5.016309523809523,6.93107142857143,47,82,35,135,5,134
19400,67,0,1.727460788719556,1.7481071428571426,6.659527777777778,7.365468253968256,47,82,39,120,2,117
19500,69,3,1.746505477067167,1.6432142857142855,4.8486666666666665,6.932714285714287,47,82,42,131,2,130
19600,59,1,1.7202396783080665,1.4532976190476194,4.866523809523809,6.702297619047617,46,83,31,122,3,108
19700,66,1,1.742519273356652,1.535880952380952,5.418166666666667,6.8025238095238105,46,83,41,124,1,132
19800,57,2,1.729341281773767,1.4568095238095242,4.7866904761904765,6.943,47,82,33,114,6,109
19900,68,0,1.7179779941471416,1.490023809523809,4.477452380952382,6.709571428571427,47,82,40,128,2,139
20000,60,3,1.7191473390028813,1.565071428571428,4.64147619047619,6.798380952380954,45,84,32,120,5,121
20100,55,2,1.6929673076558518,1.6124404761904765,4.335083333333333,6.371952380952382,47,82,18,99,5,124
20200,70,2,1.709424365136073,1.5798095238095236,5.151892857142857,6.812833333333333,46,83,38,133,4,137
20300,63,1,1.7527576556432551,1.6001190476190472,5.029833333333333,6.653547619047618,46,83,33,123,1,113
20400,53,2,1.731087517778554,1.5031309523809526,4.347190476190477,6.405452380952381,46,83,21,100,0,129
20500,65,4,1.7140528640397203,1.5250714285714286,4.886738095238096,6.694321428571426,47,82,35,127,4,131
20600,67,1,1.7014706371811013,1.5918333333333328,5.585416666666667,7.0346666666666655,46,83,36,116,1,131
20700,56,1,1.743314366613383,1.816833333333333,5.1754999999999995,6.993999999999999,46,83,31,119,3,102
20800,65,2,1.7065305106208968,1.3394523809523813,4.684011904761904,6.5565,47,82,36,127,5,137
20900,66,1,1.7383219085043475,1.24352380952381,4.276452380952382,6.492690476190476,46,83,34,132,4,120
